epoch,beta,lr,train_total_loss,train_recon_loss,train_mse_loss,train_ce_loss,train_kl_loss,train_contrast_loss,train_separation_loss,train_acc,train_proto_dist,train_intra_var_class_0,train_intra_var_class_1,train_intra_var_total,train_intra_var_weighted,val_total_loss,val_recon_loss,val_mse_loss,val_ce_loss,val_kl_loss,val_contrast_loss,val_separation_loss,val_acc,val_proto_dist,val_intra_var_class_0,val_intra_var_class_1,val_intra_var_total,val_intra_var_weighted
46,0.01,0.003,2.274451553774888,0.007366766358566009,0.007366766358566009,0.0,0.03977284409325542,7.555623474833051,0.0,0.0,8.701173394008269,11.321652566506016,27.637556158198727,19.479604362352372,11.572120332431618,6.749174033291638,0.006121025420725346,0.006121025420725346,0.0,0.03947453573346138,6.703578472137451,0.0,0.0,8.643396377563477,12.696510314941406,32.648216247558594,22.67236328125,13.036734289431834
47,0.01,0.003,2.273144704746036,0.005831683404632817,0.005831683404632817,0.0,0.03930066668977161,7.556399628687266,0.0,0.0,8.74338667612417,12.477269640668382,31.85715352583417,22.167211583251277,12.77710984189465,6.7550486996769905,0.013868402689695358,0.013868402689695358,0.0,0.03867137059569359,6.702508926391602,0.0,0.0,8.714702606201172,11.540849685668945,30.37894058227539,20.959895133972168,11.862083878790129
48,0.01,0.003,2.2788208421544347,0.011975381166497462,0.011975381166497462,0.0,0.03849225305555633,7.554868564192479,0.0,0.0,8.746133302963923,11.158877442692752,29.223600560334916,20.191239001513836,11.439510570995118,6.765191771090031,0.024578355252742767,0.024578355252742767,0.0,0.03786750137805939,6.7027459144592285,0.0,0.0,8.685203552246094,11.666520118713379,29.175682067871094,20.421101093292236,11.965092916871976
49,0.01,0.003,2.28620782118807,0.019030598423989985,0.019030598423989985,0.0,0.037784720687144606,7.555998009945823,0.0,0.0,8.723310048634314,11.822654839876394,29.65348315556346,20.738068997719928,12.096228234607972,6.768183575943112,0.027009224519133568,0.027009224519133568,0.0,0.03744424507021904,6.70373010635376,0.0,0.0,8.685322761535645,12.780853271484375,33.50835418701172,23.144603729248047,13.134306393064623
50,0.01,0.003,2.2995430748570342,0.03218341728074841,0.03218341728074841,0.0,0.03725674629981572,7.5566231707187335,0.0,0.0,8.784345272843877,12.66125797161201,32.269432363607216,22.465345167609613,12.966145724299308,6.745553631801158,0.005777471233159304,0.005777471233159304,0.0,0.036606814712285995,6.703169345855713,0.0,0.0,8.753734588623047,12.376276016235352,31.40826988220215,21.89227294921875,12.700816715533202
51,0.01,0.003,2.2959257847520336,0.029024201120254545,0.029024201120254545,0.0,0.03646280244576249,7.555122638987176,0.0,0.0,8.801206822496145,11.786198694691649,29.84334612801317,20.81477241135241,12.065771101660593,6.815675709396601,0.07848680019378662,0.07848680019378662,0.0,0.03585490956902504,6.701333999633789,0.0,0.0,8.740641593933105,10.662357330322266,27.583641052246094,19.12299919128418,10.950905408406229
52,0.01,0.003,2.327050267732103,0.06060992998608999,0.06060992998608999,0.0,0.03584903327024223,7.5536060150283895,0.0,0.0,8.718460969220438,10.172254532007722,27.83932627152911,19.005790401768415,10.443144205561882,6.800322245806456,0.06405074149370193,0.06405074149370193,0.0,0.03558695688843727,6.700684547424316,0.0,0.0,8.653846740722656,10.419997215270996,31.809633255004883,21.11481523513794,10.784741313390697
53,0.01,0.003,2.3376595450580293,0.07116379719922823,0.07116379719922823,0.0,0.03557612785752994,7.553799732644388,0.0,0.0,8.725305417099936,10.627686378570612,32.61436623513808,21.621026306854343,10.969061252561135,6.75807841680944,0.02111527882516384,0.02111527882516384,0.0,0.035256728529930115,6.701706409454346,0.0,0.0,8.70097827911377,11.961905479431152,37.290122985839844,24.626014232635498,12.393811746288304
54,0.01,0.003,2.2954981042647358,0.0286224516153849,0.0286224516153849,0.0,0.03507936758912285,7.555082311209547,0.0,0.0,8.848565405823487,12.259728915384562,35.797136542256276,24.02843272882042,12.629845274425119,6.8152618408203125,0.07779616117477417,0.07779616117477417,0.0,0.03445464372634888,6.7030110359191895,0.0,0.0,8.833407402038574,13.52724838256836,36.13689422607422,24.83207130432129,13.912796545551407
55,0.01,0.003,2.325468344527852,0.058222762728851414,0.058222762728851414,0.0,0.03428340242814377,7.556342411339983,0.0,0.0,8.96310762138038,13.416129316122344,34.42388433079532,23.92000682345883,13.743200606323976,6.763702796772122,0.026771875098347664,0.026771875098347664,0.0,0.0337415486574173,6.703189373016357,0.0,0.0,8.938637733459473,13.531383514404297,34.81633758544922,24.173860549926758,13.894342536322238
56,0.01,0.003,2.3010723353739166,0.03393975133234326,0.03393975133234326,0.0,0.033583408541038064,7.555989023102572,0.0,0.0,9.031893092638144,13.157616449503948,32.834672797911786,22.996144623707867,13.463641127852975,6.745065498165786,0.009782138280570507,0.009782138280570507,0.0,0.03297041356563568,6.70231294631958,0.0,0.0,8.99068832397461,12.306766510009766,31.20599937438965,21.756382942199707,12.629043318902967
57,0.01,0.003,2.29250334205966,0.02560339674170787,0.02560339674170787,0.0,0.032956416419889806,7.5552342400417665,0.0,0.0,9.033419652135775,12.231806441904265,31.11308803174988,21.67244723682707,12.521940682146575,6.810038510710001,0.07500316947698593,0.07500316947698593,0.0,0.03264562413096428,6.702389717102051,0.0,0.0,8.986661911010742,12.674240112304688,34.10560607910156,23.389923095703125,13.039695804795743
