iter	Passed	Remaining
969	4322	133
970	4326	129
971	4330	124
972	4335	120
973	4339	115
974	4343	111
975	4347	106
976	4351	102
977	4355	97
978	4359	93
979	4365	89
980	4368	84
981	4372	80
982	4376	75
983	4380	71
984	4384	66
985	4388	62
986	4392	57
987	4397	53
988	4401	48
989	4405	44
990	4409	40
991	4413	35
992	4417	31
993	4421	26
994	4426	22
995	4430	17
996	4433	13
997	4437	8
998	4443	4
999	4447	0
